Unnamed: 0,Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,Predicted Total,Predicted Brooklyn Bridge,Predicted Manhattan Bridge,Predicted Williamsburg Bridge,Predicted Queensboro Bridge
17,2016-04-18,2016-04-18 00:00:00,81.0,52.0,0.0,3871.0,6823,7432.0,4964.0,23090,24511.545332488444,4140.51079612995,7082.937143188763,8050.121425076993,5249.3417977599665
18,2016-04-19,2016-04-19 00:00:00,71.1,63.0,0.0,3501.0,6951,7834.0,5032.0,23318,18185.66396390643,2850.2219705127327,5114.062043382366,6214.781316278228,4022.8114428177514
19,2016-04-20,2016-04-20 00:00:00,68.0,50.0,0.0,3450.0,6574,7639.0,4928.0,22591,18027.716871972338,2894.4009075061253,5105.629987887008,5988.990360071011,4038.374278983866
20,2016-04-21,2016-04-21 00:00:00,71.1,50.0,0.0,3436.0,6452,7426.0,4813.0,22127,19445.81299612917,3164.4981094340455,5536.225355265503,6434.845612565715,4309.8797377115925
21,2016-04-22,2016-04-22 00:00:00,78.1,63.0,0.0,2975.0,4907,6093.0,3862.0,17837,21576.771528519672,3486.3421043943144,6140.0163392998975,7308.739854294659,4659.500730523735
22,2016-04-23,2016-04-23 00:00:00,70.0,61.0,0.16,2055.0,3276,4856.0,3239.0,13426,12542.508867787437,1802.2562667728382,3313.7539367633785,4409.785891677671,2989.192370932774
23,2016-04-24,2016-04-24 00:00:00,68.0,48.0,0.0,2798.0,4650,5335.0,3957.0,16740,18214.49695930603,2941.35419678631,5168.31522508378,6021.137988801911,4081.4269219103376
24,2016-04-25,2016-04-25 00:00:00,66.9,54.0,0.0,3463.0,5978,6845.0,4564.0,20850,17191.699793819353,2715.3934806709854,4841.415166711451,5776.146606798662,3863.3887606150975
25,2016-04-26,2016-04-26 00:00:00,60.1,46.9,0.24,1997.0,3520,4559.0,2929.0,13005,8868.42039524578,1216.7396516029692,2263.3395057915077,3098.0279352704033,2269.8657382689476
26,2016-04-27,2016-04-27 00:00:00,62.1,46.9,0.0,3343.0,5606,6577.0,4388.0,19914,15859.552685814091,2504.081127857191,4460.03194392125,5267.519269967469,3627.1253024563543
